Genome ID,species
891391.3,acidophilus
1579.22,acidophilus
525306.3,acidophilus
1421011.3,acidophilus
1421011.4,acidophilus
1226675.3,acidophilus
1226677.3,acidophilus
1226678.3,acidophilus
1423717.5,acidophilus
1423717.3,acidophilus
1226679.3,acidophilus
1226676.3,acidophilus
1314884.3,acidophilus
272621.13,acidophilus
1579.81,acidophilus
1579.28,acidophilus
1579.49,acidophilus
1579.56,acidophilus
1579.80,acidophilus
1579.33,acidophilus
1579.85,acidophilus
1579.60,acidophilus
1579.38,acidophilus
1423718.3,agilis
1601.9,agilis
1601.5,agilis
1601.14,agilis
1601.19,agilis
1601.11,agilis
1601.15,agilis
1601.12,agilis
1601.17,agilis
1601.13,agilis
1601.18,agilis
1601.10,agilis
1601.16,agilis
1601.7,agilis
1601.6,agilis
1601.8,agilis
1384064.3,brevis
649758.3,brevis
649758.4,brevis
387344.15,brevis
1334191.3,brevis
1580.50,brevis
1350467.3,brevis
1001583.3,brevis
1580.121,brevis
1580.57,brevis
1580.128,brevis
1580.58,brevis
1580.130,brevis
1580.171,brevis
1580.65,brevis
1580.90,brevis
1580.116,brevis
1580.64,brevis
1580.148,brevis
1580.87,brevis
1580.112,brevis
1580.113,brevis
1580.129,brevis
1580.131,brevis
1580.133,brevis
1580.132,brevis
1580.63,brevis
1580.66,brevis
1580.134,brevis
1580.168,brevis
1580.169,brevis
1580.127,brevis
1580.126,brevis
1580.119,brevis
1580.120,brevis
1580.117,brevis
1580.118,brevis
1580.170,brevis
525310.3,brevis
1580.52,brevis
1580.53,brevis
1580.51,brevis
1580.49,brevis
1051650.8,casei
1051650.4,casei
1051651.3,casei
1051652.3,casei
1378069.5,casei
1051653.4,casei
1051653.3,casei
321967.11,casei
998820.3,casei
543734.4,casei
1051654.3,casei
1423732.4,casei
1582.26,casei
1051655.5,casei
999378.3,casei
1312920.5,casei
1321951.5,casei
1318635.3,casei
1051656.3,casei
1051657.3,casei
498216.13,casei
1582.34,casei
1582.35,casei
1582.101,casei
1582.80,casei
1582.49,casei
1582.47,casei
1582.88,casei
1582.89,casei
1582.33,casei
1582.48,casei
1582.99,casei
1582.87,casei
1582.46,casei
1582.105,casei
1582.104,casei
1582.103,casei
1582.86,casei
1582.85,casei
1582.78,casei
219334.4,casei
1051658.3,casei
1051659.3,casei
1051660.3,casei
1051661.4,casei
1051661.3,casei
1215914.3,casei
575595.3,crispatus
1381118.3,crispatus
679188.3,crispatus
440496.3,crispatus
1423736.3,crispatus
1423736.4,crispatus
1328863.3,crispatus
883094.3,crispatus
883092.3,crispatus
491076.4,crispatus
575596.3,crispatus
575597.3,crispatus
575598.3,crispatus
748671.3,crispatus
47770.25,crispatus
47770.64,crispatus
47770.42,crispatus
47770.44,crispatus
47770.138,crispatus
47770.37,crispatus
47770.43,crispatus
47770.36,crispatus
47770.67,crispatus
47770.75,crispatus
47770.76,crispatus
47770.78,crispatus
47770.77,crispatus
47770.79,crispatus
47770.80,crispatus
47770.81,crispatus
47770.82,crispatus
47770.83,crispatus
47770.66,crispatus
47770.84,crispatus
47770.85,crispatus
47770.86,crispatus
47770.89,crispatus
47770.87,crispatus
47770.88,crispatus
47770.68,crispatus
47770.69,crispatus
47770.73,crispatus
47770.71,crispatus
47770.74,crispatus
47770.70,crispatus
47770.72,crispatus
47770.34,crispatus
47770.35,crispatus
47770.28,crispatus
47770.29,crispatus
47770.31,crispatus
47770.30,crispatus
47770.32,crispatus
47770.33,crispatus
1584.14,delbrueckii
1585.15,delbrueckii
353496.3,delbrueckii
390333.7,delbrueckii
390333.12,delbrueckii
390333.13,delbrueckii
321956.7,delbrueckii
1042400.3,delbrueckii
1042399.3,delbrueckii
767455.3,delbrueckii
784613.4,delbrueckii
1585.12,delbrueckii
1585.24,delbrueckii
1585.34,delbrueckii
1585.18,delbrueckii
1585.17,delbrueckii
1585.21,delbrueckii
1585.25,delbrueckii
1585.10,delbrueckii
1585.11,delbrueckii
1423823.3,delbrueckii
1423823.4,delbrueckii
83684.4,delbrueckii
83684.5,delbrueckii
83684.12,delbrueckii
83684.7,delbrueckii
1423824.3,delbrueckii
249265.3,delbrueckii
249265.4,delbrueckii
1217420.5,delbrueckii
1217420.6,delbrueckii
29397.19,delbrueckii
1269760.3,delbrueckii
888027.6,delbrueckii
888027.8,delbrueckii
888027.3,delbrueckii
888027.7,delbrueckii
29397.11,delbrueckii
29397.12,delbrueckii
29397.9,delbrueckii
29397.10,delbrueckii
29397.15,delbrueckii
29397.17,delbrueckii
29397.16,delbrueckii
1050107.3,delbrueckii
1050107.4,delbrueckii
1217420.3,delbrueckii
575599.3,fermentum
1381124.3,fermentum
525325.3,fermentum
712938.3,fermentum
767453.3,fermentum
1339267.4,fermentum
334390.5,fermentum
1407052.3,fermentum
1318629.3,fermentum
1366052.3,fermentum
1408443.3,fermentum
1613.167,fermentum
1613.36,fermentum
1613.165,fermentum
1613.166,fermentum
1613.45,fermentum
1613.113,fermentum
1613.41,fermentum
1613.42,fermentum
1613.137,fermentum
1613.40,fermentum
1613.133,fermentum
1613.34,fermentum
1613.136,fermentum
1613.32,fermentum
1613.155,fermentum
1613.112,fermentum
1613.168,fermentum
1613.128,fermentum
1613.138,fermentum
1613.134,fermentum
1613.156,fermentum
1613.127,fermentum
1613.35,fermentum
1613.132,fermentum
1403312.3,gasseri
1346615.3,gasseri
630527.3,gasseri
679196.3,gasseri
324831.13,gasseri
1185324.3,gasseri
1380360.3,gasseri
525326.3,gasseri
