genomes	size	placeholder
713605.5	324	0
888801.3	318	0
525328.13	325	0
525328.4	324	0
879297.3	321	0
879298.3	317	0
879299.3	319	0
879300.3	318	0
879302.3	321	0
879301.3	323	0
879303.3	322	0
879304.3	320	0
879295.3	323	0
879296.3	317	0
928327.3	321	0
928328.3	324	0
349123.13	496	0
927703.3	474	0
525341.3	484	0
557436.17	484	0
557436.4	479	0
1340495.3	462	0
557433.4	483	0
863368.3	475	0
863369.3	502	0
585517.3	485	0
548485.3	484	0
491077.3	487	0
1598.347	488	0
1598.346	490	0
1598.345	487	0
1598.344	488	0
1598.342	485	0
1598.343	487	0
1598.341	486	0
1598.338	486	0
1598.340	485	0
1598.337	485	0
1598.335	487	0
1598.336	468	0
1598.332	468	0
1598.330	470	0
1598.333	488	0
1598.334	488	0
1598.331	488	0
1598.329	487	0
1598.326	469	0
1598.325	486	0
1598.327	470	0
1598.328	488	0
1598.324	488	0
1598.323	488	0
1598.276	492	0
1598.291	494	0
1598.259	478	0
1598.175	478	0
1598.178	479	0
1598.322	469	0
1598.320	470	0
1598.321	470	0
1598.319	511	0
1598.318	469	0
1598.316	470	0
1598.317	509	0
1598.313	492	0
1598.312	492	0
1598.288	471	0
1598.146	485	0
1598.289	477	0
1598.264	487	0
1598.349	462	0
1598.258	463	0
1598.95	484	0
1598.309	504	0
1598.292	463	0
1598.295	468	0
1598.293	471	0
1598.296	473	0
1598.297	472	0
1598.304	461	0
1598.306	464	0
1598.298	474	0
1598.305	473	0
1598.299	479	0
1598.300	466	0
1598.301	472	0
1598.302	473	0
1598.307	480	0
1598.303	476	0
1598.311	482	0
1598.93	486	0
1598.308	489	0
1598.283	489	0
1598.290	489	0
1598.179	474	0
1598.370	492	0
1598.92	495	0
1598.91	480	0
1598.111	471	0
1358027.3	466	0
1226299.3	529	0
1446494.3	529	0
1435039.3	528	0
1597.17	524	0
1597.18	524	0
1597.27	535	0
1597.26	543	0
1597.135	533	0
1597.134	533	0
1597.19	510	0
1597.112	538	0
1597.114	531	0
1597.113	544	0
1597.115	539	0
1597.16	531	0
1597.136	512	0
1597.111	538	0
1597.28	527	0
1597.20	534	0
1597.46	537	0
1597.53	530	0
1597.137	544	0
1597.107	534	0
1597.108	534	0
1597.106	530	0
1597.127	532	0
537973.8	536	0
525337.3	529	0
1423829.3	530	0
1226298.3	530	0
1256223.3	504	0
1256218.3	529	0
1256216.3	530	0
1256220.3	538	0
1256203.3	513	0
1256196.3	532	0
1256221.3	505	0
1256209.3	535	0
1256224.3	534	0
1256225.3	531	0
1256226.3	534	0
1256205.3	527	0
1256219.3	523	0
1256210.3	530	0
1256212.3	519	0
1256222.3	534	0
1256213.3	531	0
1256199.3	541	0
1256229.3	530	0
1256230.3	534	0
1584.14	381	0
1585.15	424	0
353496.3	427	0
390333.7	419	0
390333.12	429	0
321956.7	419	0
1042400.3	418	0
1042399.3	424	0
767455.3	459	0
784613.4	455	0
1585.24	423	0
1585.34	437	0
1585.18	419	0
1585.17	419	0
1585.21	421	0
1585.25	427	0
1423823.4	417	0
83684.4	418	0
83684.5	443	0
83684.12	441	0
83684.7	438	0
1423824.3	436	0
249265.3	435	0
249265.4	435	0
1217420.5	437	0
1217420.6	434	0
29397.19	457	0
1269760.3	440	0
888027.6	459	0
888027.8	455	0
888027.3	454	0
888027.7	456	0
29397.15	455	0
29397.17	456	0
29397.16	424	0
1050107.3	440	0
1050107.4	442	0
1217420.3	435	0
1051650.4	534	0
1051651.3	536	0
1051652.3	530	0
1378069.5	526	0
1051653.4	538	0
1051653.3	538	0
321967.11	526	0
998820.3	534	0
543734.4	532	0
1051654.3	514	0
1582.26	526	0
1051655.5	519	0
999378.3	534	0
1312920.5	534	0
1321951.5	534	0
1318635.3	540	0
1051656.3	544	0
1051657.3	535	0
498216.13	533	0
1582.34	524	0
1582.35	566	0
1582.101	558	0
1582.80	543	0
1582.47	529	0
1582.88	532	0
1582.89	524	0
1582.48	534	0
1582.99	589	0
1582.87	534	0
1582.46	565	0
1582.105	537	0
1582.104	537	0
1582.103	537	0
1582.86	527	0
1582.85	523	0
1582.78	501	0
219334.4	512	0
1051658.3	543	0
1051659.3	515	0
1051660.3	512	0
1051661.4	511	0
1051661.3	511	0
1215914.3	535	0
440497.10	394	0
575605.3	391	0
596326.3	406	0
596325.3	397	0
575606.3	391	0
1423762.3	397	0
1434656.3	390	0
1434652.3	391	0
1434653.3	397	0
1434654.3	396	0
1434657.3	390	0
1434655.3	386	0
525329.3	384	0
1381119.3	385	0
575607.3	397	0
109790.33	397	0
109790.30	383	0
1579.22	390	0
525306.3	389	0
1421011.4	386	0
1226675.3	388	0
1226677.3	390	0
1226678.3	391	0
1423717.5	390	0
1423717.3	390	0
1226679.3	391	0
1226676.3	391	0
1314884.3	390	0
272621.13	390	0
1579.81	390	0
1579.28	390	0
1579.56	391	0
1579.80	390	0
1579.85	397	0
1579.38	390	0
1403312.3	379	0
1346615.3	394	0
630527.3	392	0
679196.3	393	0
324831.13	391	0
1185324.3	392	0
1380360.3	392	0
525326.3	379	0
1334627.3	376	0
559301.5	381	0
575603.3	392	0
1596.34	408	0
1596.54	376	0
1596.38	376	0
1596.51	400	0
1596.36	392	0
575604.3	395	0
768728.4	466	0
712961.3	470	0
1273133.3	460	0
1423799.3	464	0
1041521.3	451	0
1624.19	463	0
1029822.3	459	0
1108963.3	458	0
1194971.3	465	0
1624.72	467	0
1624.26	468	0
1624.28	466	0
1624.27	464	0
1624.71	471	0
1624.67	462	0
1624.70	457	0
1624.77	453	0
1624.76	462	0
1624.78	465	0
1624.112	463	0
1624.113	464	0
1624.66	462	0
1624.65	465	0
1624.63	466	0
1624.61	483	0
1624.62	470	0
1624.60	470	0
1624.39	455	0
1624.59	475	0
1624.58	463	0
1624.57	464	0
1624.56	464	0
1624.55	471	0
1624.54	452	0
1624.53	454	0
1624.52	464	0
1624.49	446	0
1624.102	466	0
1624.84	466	0
1624.83	466	0
1624.85	466	0
1624.101	466	0
1624.87	466	0
1624.86	470	0
1624.88	470	0
1624.90	470	0
1624.89	479	0
1624.91	468	0
1624.74	466	0
1624.92	466	0
1624.94	480	0
1624.93	477	0
1624.95	466	0
1624.96	467	0
1624.97	461	0
1624.98	469	0
1624.99	466	0
1624.100	470	0
1624.51	465	0
1624.82	464	0
1624.48	454	0
1624.69	454	0
1624.45	457	0
1624.47	466	0
1624.73	472	0
1624.46	473	0
1624.114	482	0
1624.79	469	0
362948.14	470	0
575595.3	386	0
