Genome ID,Genome Name,Organism Name,species,NCBI Taxon ID,Genome Status,Strain,MLST,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Sequences,Genome Length,GC Content,PATRIC CDS,BRC1 CDS,RefSeq CDS,Fermentation,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Date Inserted,Date Modified
891391.3,Lactobacillus acidophilus 30SC,Lactobacillus acidophilus 30SC,acidophilus,891391,Complete,30SC,,,,2011-03-07T00:00:00Z,21478365,PRJNA53145,SAMN02603487,GCA_000191545.1,,"CP002559,CP002560,CP002561","NC_015214,NC_015218,NC_015213",Korea University,complete,,,,1,2,,3,2097766,38.13,2112,,2059,OHOL,gut_swine,swine intestine showing strong acid tolerance and bile resistance,isolated from swine intestine showing strong acid tolerance and bile resistance,,,,"Pig, Sus scrofa",,,,,,,,,,,,,,-,,,,,Lactobacillus acidophilus 30SC was isolated from swine intestine showing strong acid tolerance and bile resistance. L. acidophilus 30SC produces a bacteriocin that is active over a wide range of pH range and inhibits many gram-positive pathogenic strains. The strain can be utilized as a potential probiotic culture incorporated in dairy foods and dietary supplements. ,,2014-12-08T22:11:52.043Z,2015-03-16T03:17:09.594Z
1579.22,Lactobacillus acidophilus ATCC 4356,,acidophilus,1579,WGS,ATCC 4356,,,,2014-11-24T00:00:00Z,-,PRJNA263693,SAMN03105773,GCA_000786395.1,,JRUT00000000,-,Facultad Ciencias Exactas y Naturales-UBA,,454,20.0x,Newbler v. 2.6; Mauve v. 2.3,,,20,20,1956698,34.59,1904,,1777,OHOL,unknown,,,1931,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Lactobacillus acidophilus is an important inhabitant of the gastrointestinal (GI) tract and is considered to have probiotic properties, raising interest in characterizing it functionalities to document its probiotic attributes in particular regarding the cell envelope structure.",,2015-03-12T13:47:42.636Z,2015-03-16T03:17:09.594Z
525306.3,Lactobacillus acidophilus ATCC 4796,Lactobacillus acidophilus ATCC 4796,acidophilus,525306,WGS,ATCC 4796,,ATCC 4796,,2009-03-10T00:00:00Z,,PRJNA31477,SAMN00001471,GCA_000159715.1,,ACHN00000000,NZ_ACHN00000000,Baylor College of Medicine,assembly,"454-GS-FLX, Illumina, Sanger",35.34x,Newbler v. 2.0.0-Eclipse,,,9,38,2006200,34.6,1937,,2020,OHOL,unknown,,,,,,"Human, Homo sapiens",,,,Gastrointestinal tract,,,,,+,Rod,,,Mesophilic,-,,Microaerophilic,,,Lactobacillus acidophilus ATCC 4796. This strain is being sequenced as a reference for the Human Microbiome Project (HMP),,2014-12-08T22:11:52.052Z,2015-03-16T03:17:09.594Z
1421011.3,Lactobacillus acidophilus CFH,,acidophilus,1421011,WGS,,,,,,,PRJNA227335,SAMN02401338,GCA_000497815.1,,AYUA00000000,,,,,,,,,278,555,1111053,34.75,1122,,,OHOL,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-08T22:11:52.057Z,2015-03-16T03:17:09.594Z
1421011.4,Lactobacillus acidophilus CFH,,acidophilus,1421011,WGS,,,,,,,PRJNA227335,SAMN02401339,GCA_000497795.1,,AYUB00000000,,,,,,,,,79,124,1929982,34.65,1867,,,OHOL,unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,2014-12-08T22:11:52.055Z,2015-03-16T03:17:09.594Z
1226675.3,Lactobacillus acidophilus CIP 76.13,Lactobacillus acidophilus CIP 76.13,acidophilus,1226675,WGS,CIP 76.13,, ,,2013-07-07T00:00:00Z,,PRJEB1532,SAMEA2272342,GCA_000469705.1,,CBLQ00000000,-,INRA STLO,WGS,,,,,,49,55,1941076,34.6,1894,,1964,OHOL,unknown,,,,,,,,,,,,,,,,,,,,,,,,,"The complete genome sequences of several pairs of closely related prokaryotes are now available. Surprisingly, even strains of the same species can differ by as much as 20 % in gene content. Several analyses of very closely related genomes comparisons reported over the last years show that there may be as much to learn about diversity. Extensive genomic comparisons are possible not only between representatives of distant evolutionary phyla, but also between species of the same phylogenetic branch where individual evolutionary events can be more readily identified. They also indicate that sequencing of one representative genome give us nowhere near a complete picture of the genetic repertoire of any species, and that new and comparative methods will be required. Remarkable innovation in sequencing technologies has been achieved making them high-throughput, faster and more cost effective. The sequencing field has experienced a major shift by the introduction of innovation sequencing technologies capable of generating sequence data at a fraction of the cost and much quicker when compared to the Sanger method. Bacteria are characterized by extensive intraspecies variation. There is not only the sequence variation found in all species, but also the presence or absence of whole genes or clusters of genes. We propose to apply the sequencing technology developed by Illumina on several strains of Lactobacillus acidophilus and helveticus to enable a comparative study that will link genotype and phenotype at the genomic level.",,2014-12-08T22:11:52.067Z,2015-03-16T03:17:09.594Z
1226677.3,Lactobacillus acidophilus CIRM-BIA 442,Lactobacillus acidophilus CIRM-BIA 442,acidophilus,1226677,WGS,CIRM-BIA 442,,,,2013-07-07T00:00:00Z,,PRJEB1530,SAMEA2272381,GCA_000442865.1,,CBLP00000000,-,INRA STLO,WGS,,,,,,19,19,1986992,34.7,1873,,1967,OHOL,food_milk,dairy products,,,,,,,,,,,,,,,,,,,,,,,,"The complete genome sequences of several pairs of closely related prokaryotes are now available. Surprisingly, even strains of the same species can differ by as much as 20 % in gene content. Several analyses of very closely related genomes comparisons reported over the last years show that there may be as much to learn about diversity. Extensive genomic comparisons are possible not only between representatives of distant evolutionary phyla, but also between species of the same phylogenetic branch where individual evolutionary events can be more readily identified. They also indicate that sequencing of one representative genome give us nowhere near a complete picture of the genetic repertoire of any species, and that new and comparative methods will be required. Remarkable innovation in sequencing technologies has been achieved making them high-throughput, faster and more cost effective. The sequencing field has experienced a major shift by the introduction of innovation sequencing technologies capable of generating sequence data at a fraction of the cost and much quicker when compared to the Sanger method. Bacteria are characterized by extensive intraspecies variation. There is not only the sequence variation found in all species, but also the presence or absence of whole genes or clusters of genes. We propose to apply the sequencing technology developed by Illumina on several strains of Lactobacillus acidophilus and helveticus to enable a comparative study that will link genotype and phenotype at the genomic level.",,2014-12-08T22:11:52.078Z,2015-03-16T03:17:09.594Z
1226678.3,Lactobacillus acidophilus CIRM-BIA 445,Lactobacillus acidophilus CIRM-BIA 445,acidophilus,1226678,WGS,CIRM-BIA 445,, ,,2013-07-07T00:00:00Z,,PRJEB1531,SAMEA2272655,GCA_000469765.1,,CBLR00000000,-,INRA STLO,WGS,,,,,,33,41,1987680,34.5,1901,,1997,OHOL,unknown,,,,,,,,,,,,,,,,,,,,,,,,,"The complete genome sequences of several pairs of closely related prokaryotes are now available. Surprisingly, even strains of the same species can differ by as much as 20 % in gene content. Several analyses of very closely related genomes comparisons reported over the last years show that there may be as much to learn about diversity. Extensive genomic comparisons are possible not only between representatives of distant evolutionary phyla, but also between species of the same phylogenetic branch where individual evolutionary events can be more readily identified. They also indicate that sequencing of one representative genome give us nowhere near a complete picture of the genetic repertoire of any species, and that new and comparative methods will be required. Remarkable innovation in sequencing technologies has been achieved making them high-throughput, faster and more cost effective. The sequencing field has experienced a major shift by the introduction of innovation sequencing technologies capable of generating sequence data at a fraction of the cost and much quicker when compared to the Sanger method. Bacteria are characterized by extensive intraspecies variation. There is not only the sequence variation found in all species, but also the presence or absence of whole genes or clusters of genes. We propose to apply the sequencing technology developed by Illumina on several strains of Lactobacillus acidophilus and helveticus to enable a comparative study that will link genotype and phenotype at the genomic level.",,2014-12-08T22:11:52.090Z,2015-03-16T03:17:09.594Z
1423717.5,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951,,acidophilus,1423717,WGS,NBRC 13951,,NBRC:13951,,2016-02-27T00:00:00Z,,PRJDB1353,SAMD00046914,GCF_001591845.1,,BCVR00000000,,National Institute of Technology and Evaluation,,454 GS-FLX Titanium; Illumina HiSeq,129x,newbler v. 3.0,,,18,18,1955274,34.59,1916,,,OHOL,unknown,,,,,,,,,,,,,,,Positive,Bacilli,No,,,,,Anaerobic,,,"The NBRC Whole Genome Shotgun Project aims to provide ""reference genomes"" of NBRC culture collection strains for identifying useful genes for taxonomic classification, risk/safety assessment, and industrial application, and for understanding the structure and evolution of microbial genomes. One of our goals is to sequence 2,000 representative strains in the NBRC culture collection. The sequence information will be released to the society through the NBRC web site (http://www.bio.nite.go.jp/ngac/e/project_wgs-e.html) and DDBJ/EMBL/GeneBank databases.",,2016-03-18T19:04:02.373Z,2016-03-18T19:04:02.373Z
1423717.3,Lactobacillus acidophilus DSM 20079 = JCM 1132 = NBRC 13951,,acidophilus,1423717,WGS,DSM 20079,,DSM:20079,,2015-11-06T00:00:00Z,,PRJNA222257,SAMN02369388,GCF_001433895.1,,AZCS01000000,,Shanghai Majorbio,,Illumina MiSeq; Illumina HiSeq,100x,SOAPdenovo v. 2,,,30,30,1954043,34.58,1936,,1832,OHOL,unknown,,,1970,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genomic characterization of the genus Lactobacillus,,2016-01-17T17:45:26.442Z,2016-01-17T17:45:26.442Z
