genomes	D_Alanine0	D_Glutamate0	D_Methionine0	D_Serine0	Glycine0	L_Alanine0	L_Arginine0	L_Asparagine0	L_Aspartate0	L_Cysteine0	L_Glutamate0	L_Glutamine0	L_Histidine0	L_Isoleucine0	L_Leucine0	L_Lysine0	L_Methionine0	L_Phenylalanine0	L_Proline0	L_Serine0	L_Threonine0	L_Tryptophan0	L_Tyrosine0	L_Valine0	Choline0	Citrulline0	Hypoxanthine0	Inosine0	Tyramine0	D_Lactate0	L_Lactate0	Butyrate0	Formate0	Fumarate0	Propionate0	Chorismate0	Succinate0	Urocanate0	Adenine0	AMP0	UMP0	Uracil0	B1_Thiamin0	B2_Riboflavin0	B3_Niacin0	B6_Pyridoxal0	B7_BIOT0	B9_Folate0	Ethanol0	GABA0	H2O20	TMAO0	D_Alanine1	D_Glutamate1	D_Methionine1	D_Serine1	Glycine1	L_Alanine1	L_Arginine1	L_Asparagine1	L_Aspartate1	L_Cysteine1	L_Glutamate1	L_Glutamine1	L_Histidine1	L_Isoleucine1	L_Leucine1	L_Lysine1	L_Methionine1	L_Phenylalanine1	L_Proline1	L_Serine1	L_Threonine1	L_Tryptophan1	L_Tyrosine1	L_Valine1	Choline1	Citrulline1	Hypoxanthine1	Inosine1	Tyramine1	D_Lactate1	L_Lactate1	Butyrate1	Formate1	Fumarate1	Propionate1	Chorismate1	Succinate1	Urocanate1	Adenine1	AMP1	UMP1	Uracil1	B1_Thiamin1	B2_Riboflavin1	B3_Niacin1	B6_Pyridoxal1	B7_BIOT1	B9_Folate1	Ethanol1	GABA1	H2O21	TMAO1	D_Alanine2	D_Glutamate2	D_Methionine2	D_Serine2	Glycine2	L_Alanine2	L_Arginine2	L_Asparagine2	L_Aspartate2	L_Cysteine2	L_Glutamate2	L_Glutamine2	L_Histidine2	L_Isoleucine2	L_Leucine2	L_Lysine2	L_Methionine2	L_Phenylalanine2	L_Proline2	L_Serine2	L_Threonine2	L_Tryptophan2	L_Tyrosine2	L_Valine2	Choline2	Citrulline2	Hypoxanthine2	Inosine2	Tyramine2	D_Lactate2	L_Lactate2	Butyrate2	Formate2	Fumarate2	Propionate2	Chorismate2	Succinate2	Urocanate2	Adenine2	AMP2	UMP2	Uracil2	B1_Thiamin2	B2_Riboflavin2	B3_Niacin2	B6_Pyridoxal2	B7_BIOT2	B9_Folate2	Ethanol2	GABA2	H2O22	TMAO2
1001583.3	0.3947	0.2331	0.1858	0.2905	0.2264	0.3947	0.3479	0.1739	0.1339	0.3255	0.131	0.1655	0.1361	0.1257	0.241	0.1632	0.1884	0.2506	0.1389	0.2999	0.3714	0.2064	0.2691	0.2168	0.2133	0.3505	0.3809	0.3999	0.245	0.3377	0.4484	0.2347	0.3561	0.1646	0.3326	0.2426	0.0803	0.1412	0.2268	0.3157	0.4092	0.3765	0.1728	0.326	0.1876	0.3048	0.2096	0.1533	0.5008	0.1157	0.2505	0.3002	0.3947	0.2331	0.1123	0.3802	0.2264	0.3947	0.3078	0.1739	0.1339	0.2385	0.131	0.1654	0.1362	0.1257	0.1929	0.1862	0.114	0.2842	0.1389	0.4055	0.242	0.1688	0.2833	0.2168	0.1759	0.213	0.3809	0.3587	0.277	0.2964	0.3147	0.1347	0.4136	0.1394	0.1949	0.233	0.0803	0.1412	0.2268	0.3157	0.4092	0.3765	0.173	0.2224	0.1767	0.3315	0.1601	0.1699	0.464	0.1157	0.3671	0.2946	0.3947	0.2331	0.1491	0.2987	0.2264	0.3947	0.2876	0.1739	0.1339	0.3169	0.131	0.1654	0.1361	0.1257	0.1929	0.1672	0.1506	0.2684	0.1389	0.3052	0.3285	0.1688	0.2568	0.2168	0.198	0.3371	0.3809	0.3881	0.2743	0.3385	0.334	0.2489	0.3217	0.1646	0.3174	0.2222	0.0803	0.1412	0.2268	0.3157	0.4092	0.3765	0.1775	0.2774	0.1794	0.273	0.1924	0.154	0.4704	0.1157	0.3353	0.2167
1002365.5	0.3075	0.3172	0.2136	0.3862	0.2547	0.3075	0.2315	0.1829	0.1694	0.3019	0.275	0.1871	0.2952	0.1617	0.2657	0.2797	0.2164	0.2757	0.3115	0.412	0.3651	0.211	0.2376	0.2564	0.2095	0.2031	0.4016	0.363	0.2537	0.3496	0.359	0.2782	0.3732	0.1227	0.3297	0.2265	0.1677	0.3126	0.2061	0.279	0.3293	0.1866	0.2049	0.2331	0.1931	0.3742	0.17	0.2037	0.4596	0.1964	0.2956	0.1874	0.3075	0.3172	0.2136	0.3862	0.2547	0.3075	0.2513	0.1829	0.1694	0.2732	0.275	0.1871	0.2952	0.1617	0.2657	0.2998	0.2164	0.2626	0.3115	0.412	0.2788	0.211	0.2496	0.2564	0.1441	0.1859	0.4016	0.2662	0.272	0.2573	0.3913	0.1744	0.3929	0.1227	0.2565	0.2359	0.1677	0.3126	0.2061	0.2691	0.3293	0.1866	0.211	0.2399	0.1757	0.2628	0.17	0.2037	0.4433	0.1964	0.3428	0.1853	0.3075	0.3172	0.2312	0.3862	0.2547	0.3075	0.2626	0.1829	0.1694	0.3345	0.275	0.1871	0.2952	0.1617	0.2657	0.2718	0.234	0.2864	0.3115	0.412	0.3591	0.211	0.2341	0.2564	0.2334	0.248	0.4016	0.3391	0.2615	0.2652	0.337	0.288	0.3929	0.1227	0.3468	0.2352	0.1677	0.3126	0.2061	0.2691	0.3293	0.1866	0.1993	0.2979	0.1926	0.3873	0.2043	0.2061	0.4301	0.1964	0.3231	0.1945
1029822.3	0.3703	0.355	0.2103	0.4519	0.2411	0.3703	0.2473	0.1961	0.1631	0.3203	0.279	0.1299	0.2122	0.1898	0.3231	0.2728	0.2128	0.216	0.1947	0.4896	0.3834	0.1914	0.2427	0.2916	0.2263	0.1788	0.383	0.3265	0.2187	0.4	0.375	0.3366	0.3538	0.1416	0.4033	0.3027	0.2181	0.2228	0.2245	0.3829	0.5031	0.4262	0.1863	0.2154	0.2062	0.2822	0.1893	0.2782	0.4868	0.1993	0.4057	0.245	0.3703	0.355	0.2103	0.4519	0.2375	0.3703	0.2354	0.1961	0.1631	0.3123	0.279	0.1299	0.2122	0.1898	0.3231	0.3204	0.2128	0.2054	0.1947	0.4896	0.3147	0.1914	0.2203	0.2916	0.2182	0.1788	0.383	0.2389	0.2371	0.3519	0.3932	0.3354	0.3623	0.1416	0.3387	0.3027	0.2181	0.2228	0.2245	0.3829	0.5031	0.4262	0.1863	0.2252	0.2009	0.2798	0.2047	0.2782	0.4522	0.1993	0.3486	0.2056	0.3703	0.355	0.2103	0.4519	0.2375	0.3703	0.2582	0.1961	0.1631	0.3586	0.279	0.1299	0.2122	0.1898	0.3231	0.3156	0.2128	0.2169	0.1947	0.4896	0.4203	0.1914	0.2249	0.2916	0.2544	0.1788	0.383	0.3717	0.2277	0.3881	0.3373	0.3806	0.3623	0.1416	0.3899	0.3027	0.2181	0.2228	0.2245	0.3829	0.5031	0.4262	0.1862	0.2252	0.2312	0.2944	0.2332	0.2782	0.4671	0.1993	0.2932	0.2619
1033983.3	0.2301	0.1246	0.1054	0.236	0.1823	0.1715	0.2641	0.1305	0.0821	0.178	0.0001	0.1293	0.088	0.1088	0.1905	0.1432	0.1054	0.1393	0.0005	0.2409	0.24	0.1403	0.1731	0.0681	0.1343	0.2529	0.3034	0.2349	0.1482	0.3174	0.2814	0.1932	0.3061	0.09	0.2917	0.167	0.0622	0.0966	0.1031	0.1156	0.1237	0.3572	0.1428	0.1913	0.1232	0.1959	0.1425	0.1517	0.3666	0.0001	0.2139	0.1331	0.2301	0.1246	0.111	0.2527	0.1823	0.1715	0.2057	0.1305	0.0821	0.1586	0.0001	0.1293	0.0861	0.1088	0.1905	0.1562	0.1123	0.1557	0.0005	0.2722	0.1622	0.1192	0.1834	0.0681	0.1169	0.1794	0.3034	0.1926	0.1805	0.2426	0.2278	0.1116	0.309	0.09	0.119	0.1873	0.0622	0.0966	0.1031	0.1156	0.1237	0.3572	0.1398	0.1051	0.1105	0.1817	0.118	0.1517	0.3756	0.0001	0.2751	0.1663	0.2301	0.1246	0.1334	0.2381	0.1823	0.1715	0.2266	0.1305	0.0821	0.1614	0.0001	0.1293	0.0861	0.1701	0.1905	0.1613	0.1303	0.1528	0.0005	0.2431	0.2465	0.1457	0.1796	0.0681	0.158	0.2573	0.3034	0.2432	0.1513	0.3171	0.3096	0.198	0.3252	0.09	0.192	0.1752	0.0622	0.0966	0.1031	0.1156	0.1237	0.3572	0.1462	0.2192	0.1292	0.2174	0.1271	0.1517	0.3939	0.0001	0.2243	0.1424
1036177.3	0.3831	0.3593	0.221	0.3406	0.2619	0.3831	0.2286	0.1636	0.2106	0.3725	0.2794	0.1935	0.3406	0.3208	0.2888	0.2825	0.2237	0.2709	0.3176	0.3496	0.3826	0.2348	0.2606	0.3521	0.2042	0.2306	0.3608	0.3518	0.2523	0.4111	0.3791	0.3263	0.3672	0.1687	0.3764	0.3145	0.175	0.3416	0.1449	0.2739	0.3743	0.3912	0.1972	0.2813	0.2299	0.3231	0.1569	0.2393	0.4652	0.2252	0.2633	0.2744	0.3831	0.3593	0.221	0.3469	0.2619	0.3831	0.2202	0.1636	0.2106	0.3407	0.2794	0.1935	0.3406	0.2678	0.2888	0.3115	0.2237	0.2762	0.3176	0.3662	0.3407	0.2348	0.2675	0.3521	0.1674	0.1506	0.3608	0.2864	0.2287	0.3738	0.3528	0.244	0.4428	0.1687	0.3175	0.3191	0.175	0.3416	0.1449	0.2841	0.3618	0.3912	0.2018	0.2813	0.1959	0.3286	0.1604	0.2393	0.4321	0.2252	0.3597	0.2397	0.3831	0.3593	0.221	0.2536	0.2619	0.3831	0.2541	0.1636	0.2106	0.3623	0.2794	0.1935	0.3406	0.3054	0.2888	0.3148	0.2237	0.2738	0.3176	0.2583	0.3905	0.2321	0.2606	0.3521	0.2369	0.2509	0.3608	0.3451	0.2475	0.3302	0.3379	0.3247	0.3461	0.1687	0.3789	0.2784	0.175	0.3416	0.1449	0.2841	0.3743	0.3912	0.1824	0.3225	0.2378	0.2786	0.2032	0.2393	0.4425	0.2252	0.2771	0.2463
1037411.3	0.2287	0.1246	0.1596	0.2311	0.1822	0.2287	0.2329	0.1304	0.0819	0.1778	0.0001	0.1292	0.088	0.1079	0.1891	0.2467	0.1612	0.1513	0.0005	0.2359	0.2401	0.1395	0.1732	0.0664	0.1432	0.2092	0.3032	0.2348	0.1483	0.3194	0.2812	0.2036	0.3064	0.0899	0.2914	0.1672	0.0622	0.0966	0.1031	0.1155	0.1234	0.357	0.1417	0.1822	0.1159	0.1958	0.1296	0.1515	0.3685	0.0001	0.2256	0.1335	0.2287	0.1246	0.1438	0.2513	0.1822	0.2287	0.2052	0.1304	0.0819	0.1585	0.0001	0.1292	0.088	0.1079	0.1891	0.2513	0.1454	0.1549	0.0005	0.2706	0.1552	0.1187	0.18	0.0664	0.1121	0.1736	0.3032	0.1925	0.1772	0.2428	0.2273	0.1112	0.3085	0.0899	0.1174	0.1686	0.0622	0.0967	0.097	0.1155	0.1234	0.357	0.1349	0.105	0.1025	0.1859	0.118	0.1515	0.3769	0.0001	0.2717	0.1808	0.2287	0.1246	0.1623	0.2282	0.1822	0.2287	0.218	0.1304	0.0819	0.1577	0.0001	0.1292	0.0862	0.1661	0.1891	0.2206	0.1639	0.1555	0.0004	0.2328	0.2423	0.1429	0.1797	0.0664	0.1508	0.2521	0.3032	0.2315	0.1537	0.3183	0.3084	0.1933	0.3254	0.0899	0.1878	0.1709	0.0622	0.0966	0.097	0.1155	0.1234	0.357	0.1451	0.1802	0.1199	0.2172	0.1262	0.1515	0.3882	0.0001	0.2353	0.1427
1040964.3	0.3375	0.3574	0.1929	0.1954	0.2466	0.3375	0.2303	0.1399	0.1617	0.2884	0.2804	0.2722	0.3203	0.2803	0.235	0.2783	0.1952	0.2302	0.1951	0.2	0.3153	0.2692	0.1932	0.2022	0.1943	0.2534	0.3293	0.2563	0.2114	0.3674	0.3689	0.2885	0.3614	0.1556	0.446	0.2489	0.2161	0.3111	0.2282	0.2815	0.3206	0.3195	0.1457	0.2594	0.1968	0.2579	0.1628	0.1606	0.3631	0.2003	0.2958	0.2045	0.3375	0.3574	0.205	0.2097	0.2466	0.3375	0.1972	0.1399	0.1617	0.2063	0.2804	0.2722	0.3203	0.2612	0.235	0.2717	0.2073	0.1738	0.1951	0.2151	0.2431	0.2692	0.202	0.2022	0.1894	0.1442	0.3293	0.1521	0.1702	0.3486	0.297	0.1816	0.3931	0.1556	0.4208	0.2351	0.2161	0.3111	0.2282	0.2815	0.3206	0.3195	0.1405	0.1929	0.1727	0.2642	0.1357	0.1606	0.4157	0.2003	0.3229	0.2102	0.3375	0.3574	0.2129	0.2535	0.2466	0.3375	0.2435	0.1399	0.1617	0.2325	0.2804	0.2722	0.3203	0.3064	0.235	0.2672	0.2155	0.2177	0.1951	0.2591	0.3182	0.2692	0.1945	0.2022	0.186	0.1442	0.3293	0.3342	0.2155	0.3693	0.3473	0.2953	0.3542	0.1556	0.3281	0.2542	0.2161	0.3111	0.2282	0.2815	0.3206	0.3195	0.159	0.282	0.2003	0.264	0.1657	0.1606	0.465	0.2003	0.3058	0.2149
1041521.3	0.3699	0.3549	0.2084	0.4519	0.2375	0.3699	0.2232	0.1959	0.1625	0.3203	0.2789	0.1299	0.2119	0.2027	0.3231	0.2724	0.2109	0.1977	0.1946	0.4896	0.3832	0.1914	0.2308	0.2916	0.2263	0.1792	0.3262	0.3125	0.2039	0.3866	0.3381	0.3341	0.3536	0.1414	0.3363	0.3207	0.2178	0.2226	0.2245	0.3829	0.5031	0.4261	0.1773	0.2154	0.1981	0.2822	0.1899	0.2824	0.3877	0.1992	0.3257	0.2451	0.3699	0.3549	0.2084	0.4519	0.2375	0.3699	0.2388	0.1959	0.1625	0.3123	0.2789	0.1299	0.2119	0.2027	0.3231	0.3198	0.2109	0.2353	0.1946	0.4896	0.3696	0.1914	0.2409	0.2916	0.2197	0.1792	0.3262	0.2441	0.1867	0.3519	0.3932	0.3341	0.3623	0.1414	0.3363	0.3207	0.2178	0.2226	0.2245	0.3829	0.5031	0.4261	0.1786	0.2202	0.1938	0.2798	0.1899	0.278	0.3339	0.1992	0.3272	0.2044	0.3699	0.3549	0.2084	0.4519	0.2412	0.3699	0.2768	0.1959	0.1625	0.3417	0.2789	0.1299	0.2119	0.2027	0.3231	0.2835	0.2109	0.1796	0.1946	0.4896	0.3939	0.1914	0.2219	0.2916	0.2615	0.1792	0.3262	0.3184	0.2275	0.3587	0.311	0.35	0.3623	0.1414	0.3696	0.2137	0.2178	0.2226	0.2245	0.3829	0.5031	0.4261	0.1846	0.2202	0.2244	0.2944	0.1857	0.278	0.4538	0.1992	0.3852	0.2619
1042399.3	0.3794	0.2369	0.1963	0.2886	0.2191	0.3794	0.2137	0.1376	0.0895	0.2663	0.1412	0.0724	0.1171	0.1936	0.1944	0.2343	0.1984	0.17	0.0754	0.2971	0.2546	0.1369	0.2074	0.1646	0.1714	0.2351	0.291	0.3436	0.1956	0.3292	0.3643	0.2579	0.3677	0.0898	0.3074	0.1585	0.0959	0.102	0.1513	0.1997	0.2243	0.201	0.1366	0.1543	0.1144	0.2086	0.1473	0.1893	0.4051	0.1009	0.2474	0.1761	0.3794	0.2369	0.1587	0.3096	0.2191	0.3794	0.2091	0.1376	0.0895	0.2164	0.1412	0.0724	0.1171	0.1936	0.1893	0.2576	0.1606	0.133	0.0837	0.3334	0.2234	0.1386	0.1654	0.1646	0.1399	0.1734	0.291	0.2023	0.1863	0.281	0.2571	0.1703	0.2559	0.0898	0.1861	0.1756	0.0959	0.102	0.1513	0.1923	0.2243	0.201	0.13	0.1543	0.1125	0.1737	0.1687	0.1893	0.3052	0.1009	0.3	0.1561	0.3794	0.2369	0.1972	0.3096	0.2191	0.3794	0.2268	0.1376	0.0895	0.2164	0.1412	0.0724	0.1171	0.1936	0.1893	0.2387	0.1994	0.1711	0.0754	0.3334	0.2234	0.1427	0.2087	0.1646	0.1792	0.2395	0.291	0.2803	0.2057	0.2962	0.301	0.2598	0.3658	0.0898	0.2411	0.1689	0.0959	0.102	0.1513	0.1923	0.2159	0.201	0.1382	0.1543	0.1331	0.2064	0.1649	0.1893	0.4106	0.1009	0.2505	0.1761
1042400.3	0.3778	0.2353	0.188	0.3084	0.2192	0.3778	0.21	0.1373	0.0892	0.2709	0.1393	0.0722	0.1177	0.1941	0.1894	0.3072	0.1901	0.182	0.0742	0.3321	0.2244	0.139	0.2089	0.1647	0.1575	0.179	0.2872	0.206	0.2094	0.3226	0.3194	0.2535	0.3193	0.0896	0.2166	0.1611	0.0954	0.1025	0.1333	0.191	0.2147	0.1946	0.132	0.1036	0.1124	0.2113	0.1259	0.1819	0.3902	0.0995	0.2333	0.1715	0.3778	0.2353	0.1807	0.3084	0.2192	0.3778	0.2108	0.1373	0.0892	0.2296	0.1393	0.0722	0.1177	0.1941	0.1945	0.2925	0.1828	0.1349	0.0824	0.3321	0.2244	0.143	0.1653	0.1647	0.1274	0.1341	0.2872	0.1396	0.1862	0.2801	0.2718	0.1708	0.2993	0.0955	0.1853	0.1528	0.0954	0.1025	0.1333	0.1984	0.2147	0.1946	0.1298	0.1036	0.1143	0.1779	0.1238	0.187	0.3045	0.0995	0.2483	0.1581	0.3778	0.2353	0.2045	0.3084	0.2192	0.3778	0.249	0.1373	0.0892	0.2428	0.1393	0.0721	0.1177	0.1941	0.1894	0.2698	0.2068	0.1709	0.0742	0.3321	0.2666	0.139	0.2084	0.1647	0.1785	0.2421	0.2872	0.2764	0.2056	0.2955	0.3002	0.2595	0.3399	0.0896	0.2401	0.1667	0.0954	0.1025	0.1333	0.1984	0.2147	0.1946	0.1391	0.1066	0.1308	0.2104	0.128	0.1819	0.4098	0.0995	0.336	0.1754
