Genome ID,Genome Name,Organism Name,Species,NCBI Taxon ID,Genome Status,Strain,MLST,Culture Collection,Type Strain,Completion Date,Publication,BioProject Accession,BioSample Accession,Assembly Accession,SRA Accession,GenBank Accessions,RefSeq Accessions,Sequencing Centers,Sequencing Status,Sequencing Platform,Sequencing Depth,Assembly Method,Chromosomes,Plasmids,Contigs,Sequences,Genome Length,GC Content,PATRIC CDS,BRC1 CDS,RefSeq CDS,Fermentation,Isolation Site,Isolation Source,Isolation Comments,Collection Date,Isolation Country,Geographic Location,Host Name,Host Gender,Host Age,Host Health,Body Sample Site,Body Sample Subsite,Other Clinical,AntiMicrobial Resistance,AntiMicrobial Resistance Evidence,Gram Stain,Cell Shape,Motility,Sporulation,Temperature Range,Optimal Temperature,Salinity,Oxygen Requirement,Habitat,Disease,Comments,Additional Metadata,Date Inserted,Date Modified
1680.10,Bifidobacterium adolescentis,,adolescentis,1680,WGS,,,,,2015-10-01T00:00:00Z,,PRJEB10915,SAMEA3545270,GCF_001406735.1,ERR1022320,CYYG01000000,,SC,,,,,,,17,,2259076,59.01,1938,,1809,,gut_human,faeces,,2013,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,,"Whole genome and metagenomic sequencing of novel and characterised bacteria from healthy human donors These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",,2016-01-17T17:38:05.731Z,2016-01-17T17:38:05.731Z
1680.8,Bifidobacterium adolescentis,,adolescentis,1680,WGS,,,,,2015-10-01T00:00:00Z,,PRJEB10915,SAMEA3545316,GCF_001406215.1,ERR1022366,CZAA01000000,,SC,,,,,,,10,,2234127,59.36,1902,,1791,,gut_human,faeces,,2013,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,,"Whole genome and metagenomic sequencing of novel and characterised bacteria from healthy human donors These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",,2016-01-17T17:37:56.749Z,2016-01-17T17:37:56.749Z
1680.9,Bifidobacterium adolescentis,,adolescentis,1680,WGS,,,,,2015-10-01T00:00:00Z,,PRJEB10915,SAMEA3545233,GCF_001406455.1,ERR1022283,CYYI01000000,,SC,,,,,,,15,,2312049,59.29,2037,,1921,,gut_human,faeces,,2013,United Kingdom,United Kingdom,,,,,,,,,,,,,,,,,,,,"Whole genome and metagenomic sequencing of novel and characterised bacteria from healthy human donors These data are part of a pre-publication release. For information on the proper use of pre-publication data shared by the Wellcome Trust Sanger Institute (including details of any publication moratoria), please see http://www.sanger.ac.uk/datasharing/",,2016-01-17T17:38:00.711Z,2016-01-17T17:38:00.711Z
367928.6,Bifidobacterium adolescentis ATCC 15703,Bifidobacterium adolescentis ATCC 15703,adolescentis,367928,Complete,ATCC 15703,,ATCC 15703,,2006-12-05T00:00:00Z,,PRJNA16321,,GCA_000010425.1,,AP009256,NC_008618,"Gifu University, Life Science Research Center, Japan|National Center for Biotechnology Information, NIH, USA, Bethesda",complete,,,,1,,1,,2089645,59.2,1724,,1631,,,,,,,,,,,,,,,,,+,"Rod, Curved Rod, Forked",No,No,Mesophilic,37,Non-halophilic,Anaerobic,Host-associated,,Bifidobacterium adolescentis ATCC 15703.This strain is being sequenced for comparative genome analysis.,,2014-12-08T22:10:27.365Z,2015-03-16T03:17:09.594Z
1263057.3,Bifidobacterium adolescentis CAG:119,,adolescentis,1263057,WGS,MGS:119,,,,2013-05-31T00:00:00Z,,PRJEB698,,GCF_000435235.1,,CAXT000000000,,DTU,,,,,,,124,,1924354,59.4,1734,,1593,,gut_human,"396 human stool samples we identified 7,381 such MetaGenomic Species","derived from 396 human stool samples we identified 7,381 such MetaGenomic Species",,,,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,"Metagenomic data acquired by deep sequencing is immensely complex, lacks apparent structure and is typically dominated by unknown species. Using an abundance co-variance strategy, we group highly co-varying genes into MetaGenomic Species, which represent a wide range of biological entities: bacterial genomes, plasmids, genomic islands, clonal variation and bacteriophages. Applying this concept to a new 3.9 million microbial gene catalogue derived from 396 human stool samples we identified 7,381 such MetaGenomic Species. They range in size from 3 to 6,319 genes, with 741 MetaGenomic Species resembling bacterial genomes in number of genes contained. The Meta-Genomic Species displays remarkable consistency in taxonomy and GC content. 247 of the MetaGenomic Species assemblies even pass the HMP high quality draft genome criteria. A large proportion (73%) of the MetaGenomic Species displays no sequence similarity to any previously sequenced organism. Smaller MetaGenomic Species are enriched for genes characteristic for bacteriophages and functions important for biotic interactions and show strong dependencies to gene-rich MetaGenomic Species. We present the first unsupervised structuring of a highly complex series of metagenomic samples into biological entities, including a global analysis of the genetic interdependencies between bacteria, plasmids, phages and genetic islands in the human distal gut.",,2016-01-17T15:32:21.353Z,2016-01-17T15:32:21.353Z
1410644.3,Bifidobacterium adolescentis DSM 20087,,adolescentis,1410644,WGS,DSM 20087,,,,2014-06-11T00:00:00Z,-,PRJNA223463,SAMN02841222,GCA_000702865.1,SRR3501412,JNKM00000000,-,DOE Joint Genome Institute,,Illumina HiSeq 2000,Unknown,vpAllpaths v. r46652,,,10,,2051150,59.4,1696,,,,gut_mammal,,,,,,,,,,,,,,,,,,,,,,,,,The Hungate 1000. A catalogue of reference genomes from the rumen microbiome.,,2014-12-08T22:43:52.906Z,2015-03-16T03:17:09.594Z
411481.5,Bifidobacterium adolescentis L2-32,Bifidobacterium adolescentis L2-32,adolescentis,411481,WGS,L2-32,,,,2007-03-08T00:00:00Z,,PRJNA18197,SAMN00627056,GCA_000154085.1,SRR275616,AAXD00000000,NZ_AAXD00000000,Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine,assembly,"454-GS20, Sanger",11.7x,PCAP,,,40,,2381550,59.3,2031,,2428,,gut_human,feces from an infant,"isolated from feces from an infant and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota",,,,"Human, Homo sapiens",,infant,,Gastrointestinal tract,,,,,+,"Rod, Curved Rod, Forked",No,No,Mesophilic,37,,Anaerobic,Host-associated,,"Bifidobacterium adolescentis L2-32. Bifidobacterium adolescentis L2-32 was isolated from feces from an infant and is part of a comprehensive, sequence-based survey of members of the normal human gut microbiota. A joint effort of the WU-GSC and the Center for Genome Sciences at Washington University School of Medicine, the purpose of this survey is to provide the general scientific community with a broad view of the gene content of 100 representatives of the major divisions represented in the intestine's microbial community. This information should provide a frame of reference for analyzing metagenomic studies of the human gut microbiome.   ",,2014-12-08T22:10:27.386Z,2015-03-16T03:17:09.594Z
1680.104,Bifidobacterium adolescentis strain 1-11,,adolescentis,1680,Complete,1-11,,,,2018-04-03T00:00:00Z,,PRJNA445212,SAMN08770276,GCA_003030905.1,,CP028341,,China Agricultural University,,Illumina HiSeq,200.0x,SOAPdenovo v. 2.04,1,,1,,2192428,59.58376,1904,,1793,,gut_human,infant faece,,Mar-2014,China,China,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Bifidobacterium adolescentis 1-11 could produce exopolysaccharides,sample_type:cell culture,2018-05-30T23:01:16.224Z,2018-05-30T23:01:16.224Z
1680.7,Bifidobacterium adolescentis strain 150,,adolescentis,1680,WGS,150,,,,2015-05-20T00:00:00Z,26139716,PRJNA280952,SAMN03468113,GCF_001010915.1,,LBHQ01000000,,Vavilov Institute of General Genetics,,454,20.0x,GS De Novo Assembler v. 3.0,,,34,,2315664,59.35,2062,,1830,,gut_human,feces,isolated (Tver State Medical Academy) in 2014 from a fecal sample of a healthy young woman living in Russia,2014,Russia,Russia:Tver,"Human, Homo sapiens",,,,,,,,,,,,,Mesophilic,C,,Anaerobic,HostAssociated,,Bifidobacterium adolescentis strain 150 was originally isolated (Tver State Medical Academy) in 2014 from a fecal sample of a healthy young woman living in Russia. The strain produces GABA. Draft genome sequence will be used to study possible psychobiotic properties of this strain.,sample_type:whole organism;collected_by:Tver State Medical Academy,2016-01-17T16:03:10.770Z,2016-01-17T16:03:10.770Z
1680.34,Bifidobacterium adolescentis strain 1892B,,adolescentis,1680,WGS,1892B,,,,2017-03-31T00:00:00Z,,,,,,NAQF00000000,,,,,,,,,11,,2150850,59.35,1824,,1720,,gut_human,Infant Stool,,,Italy,Italy,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,,,2017-05-28T06:04:55.168Z,2017-05-28T06:04:55.168Z
1680.4,Bifidobacterium adolescentis strain 22L,,adolescentis,1680,Complete,22L,,,,2014-08-05T00:00:00Z,25063659,PRJNA240293,SAMN02673695,GCA_000737885.1,,CP007443.1,NZ_CP007443.1,University of Parma,,Ion Torrent,229x,Mira v. 4.0,1,,1,,2203220,59.3,1820,,1725,,milk_human,milk,,2010,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,,,,,,Genome sequencing of Bifidobacterium adolescentis 22L,,2014-12-08T23:13:25.609Z,2015-03-16T03:17:09.594Z
1680.35,Bifidobacterium adolescentis strain 42B,,adolescentis,1680,WGS,42B,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231308,,,LNKB00000000,,University of Parma,,Illumina MiSeq,120x,Mira v. 4.0.2,,,15,,2212742,59.17,1939,,1855,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:20:17.511Z,2017-05-29T03:20:17.511Z
1680.39,Bifidobacterium adolescentis strain 487B,,adolescentis,1680,WGS,487B,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231310,,,LNKD00000000,,University of Parma,,Illumina MiSeq,76x,Mira v. 4.0.2,,,11,,2597776,59.06,2363,,2215,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:27:37.919Z,2017-05-29T03:27:37.919Z
1680.41,Bifidobacterium adolescentis strain 703B,,adolescentis,1680,WGS,703B,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231311,,,LNKE00000000,,University of Parma,,Illumina MiSeq,59x,Mira v. 4.0.2,,,33,,2372808,59.32,2169,,2044,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:33:30.023Z,2017-05-29T03:33:30.023Z
1680.36,Bifidobacterium adolescentis strain 70B,,adolescentis,1680,WGS,70B,,,,2017-04-24T00:00:00Z,27035119,PRJNA300965,SAMN04231309,,,LNKC00000000,,University of Parma,,Illumina MiSeq,114x,Mira v. 4.0.2,,,14,,2212129,58.76,1905,,1774,,gut_human,feces,,2014-10,Italy,Italy: Parma,"Human, Homo sapiens",,,,,,,,,,,,,,C,,,,,Bifidobacterium adolescentis pangenome,sample_type:cell culture,2017-05-29T03:21:06.843Z,2017-05-29T03:21:06.843Z
